"fk_schema","fk_table","fk_column","fk_name","ref_schema","ref_table","ref_column"
"cumplimiento","accion_instancia_aprobacion","id_accion_aprobacion","FK_cumplimiento_accion_instancia_aprobacion_catalogo_accion_aprobacion_id_accion_aprobacion","catalogo","accion_aprobacion","id_accion_aprobacion"
"cumplimiento","accion_instancia_aprobacion","id_instancia_aprobacion","FK_cumplimiento_accion_instancia_aprobacion_cumplimiento_instancia_aprobacion_id_instancia_aprobacion","cumplimiento","instancia_aprobacion","id_instancia_aprobacion"
"cumplimiento","accion_instancia_aprobacion","id_paso_instancia_aprobacion","FK_cumplimiento_accion_instancia_aprobacion_cumplimiento_paso_instancia_aprobacion_id_paso_instancia_aprobacion","cumplimiento","paso_instancia_aprobacion","id_paso_instancia_aprobacion"
"cumplimiento","accion_instancia_aprobacion","id_empresa","FK_cumplimiento_accion_instancia_aprobacion_organizacion_empresa_id_empresa","organizacion","empresa","id_empresa"
"cumplimiento","accion_instancia_aprobacion","id_empresa","FK_cumplimiento_accion_instancia_aprobacion_organizacion_unidad_organizativa_id_empresa_id_unidad_organizativa","organizacion","unidad_organizativa","id_empresa"
"cumplimiento","accion_instancia_aprobacion","id_unidad_organizativa","FK_cumplimiento_accion_instancia_aprobacion_organizacion_unidad_organizativa_id_empresa_id_unidad_organizativa","organizacion","unidad_organizativa","id_unidad_organizativa"
"cumplimiento","accion_instancia_aprobacion","id_usuario","FK_cumplimiento_accion_instancia_aprobacion_seguridad_usuario_id_usuario","seguridad","usuario","id_usuario"
"cumplimiento","excepcion_sod","id_regla_sod","FK_cumplimiento_excepcion_sod_cumplimiento_regla_sod_id_regla_sod","cumplimiento","regla_sod","id_regla_sod"
"cumplimiento","excepcion_sod","id_empresa","FK_cumplimiento_excepcion_sod_organizacion_empresa_id_empresa","organizacion","empresa","id_empresa"
"cumplimiento","excepcion_sod","aprobado_por","FK_cumplimiento_excepcion_sod_seguridad_usuario_aprobado_por","seguridad","usuario","id_usuario"
"cumplimiento","excepcion_sod","id_usuario","FK_cumplimiento_excepcion_sod_seguridad_usuario_id_usuario","seguridad","usuario","id_usuario"
"cumplimiento","instancia_aprobacion","id_estado_aprobacion","FK_cumplimiento_instancia_aprobacion_catalogo_estado_aprobacion_id_estado_aprobacion","catalogo","estado_aprobacion","id_estado_aprobacion"
"cumplimiento","instancia_aprobacion","id_perfil_aprobacion","FK_cumplimiento_instancia_aprobacion_cumplimiento_perfil_aprobacion_id_perfil_aprobacion","cumplimiento","perfil_aprobacion","id_perfil_aprobacion"
"cumplimiento","instancia_aprobacion","id_empresa","FK_cumplimiento_instancia_aprobacion_organizacion_empresa_id_tenant_id_empresa","organizacion","empresa","id_empresa"
"cumplimiento","instancia_aprobacion","id_tenant","FK_cumplimiento_instancia_aprobacion_organizacion_empresa_id_tenant_id_empresa","organizacion","empresa","id_tenant"
"cumplimiento","instancia_aprobacion","id_empresa","FK_cumplimiento_instancia_aprobacion_organizacion_unidad_organizativa_id_empresa_id_unidad_organizativa","organizacion","unidad_organizativa","id_empresa"
"cumplimiento","instancia_aprobacion","id_unidad_organizativa","FK_cumplimiento_instancia_aprobacion_organizacion_unidad_organizativa_id_empresa_id_unidad_organizativa","organizacion","unidad_organizativa","id_unidad_organizativa"
"cumplimiento","instancia_aprobacion","codigo_entidad","FK_cumplimiento_instancia_aprobacion_seguridad_entidad_alcance_dato_codigo_entidad","seguridad","entidad_alcance_dato","codigo_entidad"
"cumplimiento","instancia_aprobacion","solicitado_por","FK_cumplimiento_instancia_aprobacion_seguridad_usuario_solicitado_por","seguridad","usuario","id_usuario"
"cumplimiento","paso_instancia_aprobacion","id_estado_aprobacion","FK_cumplimiento_paso_instancia_aprobacion_catalogo_estado_aprobacion_id_estado_aprobacion","catalogo","estado_aprobacion","id_estado_aprobacion"
"cumplimiento","paso_instancia_aprobacion","id_instancia_aprobacion","FK_cumplimiento_paso_instancia_aprobacion_cumplimiento_instancia_aprobacion_id_instancia_aprobacion","cumplimiento","instancia_aprobacion","id_instancia_aprobacion"
"cumplimiento","paso_perfil_aprobacion","id_alcance_asignacion_requerido","FK_cumplimiento_paso_perfil_aprobacion_catalogo_alcance_asignacion_id_alcance_asignacion_requerido","catalogo","alcance_asignacion","id_alcance_asignacion"
"cumplimiento","paso_perfil_aprobacion","id_perfil_aprobacion","FK_cumplimiento_paso_perfil_aprobacion_cumplimiento_perfil_aprobacion_id_perfil_aprobacion","cumplimiento","perfil_aprobacion","id_perfil_aprobacion"
"cumplimiento","paso_perfil_aprobacion","id_privilegio_requerido","FK_cumplimiento_paso_perfil_aprobacion_seguridad_privilegio_id_privilegio_requerido","seguridad","privilegio","id_privilegio"
"cumplimiento","paso_perfil_aprobacion","id_rol_requerido","FK_cumplimiento_paso_perfil_aprobacion_seguridad_rol_id_rol_requerido","seguridad","rol","id_rol"
"cumplimiento","perfil_aprobacion","id_empresa","FK_cumplimiento_perfil_aprobacion_organizacion_empresa_id_empresa","organizacion","empresa","id_empresa"
"cumplimiento","perfil_aprobacion","id_tenant","FK_cumplimiento_perfil_aprobacion_plataforma_tenant_id_tenant","plataforma","tenant","id_tenant"
"cumplimiento","perfil_aprobacion","codigo_entidad","FK_cumplimiento_perfil_aprobacion_seguridad_entidad_alcance_dato_codigo_entidad","seguridad","entidad_alcance_dato","codigo_entidad"
"cumplimiento","regla_sod","id_severidad_sod","FK_cumplimiento_regla_sod_catalogo_severidad_sod_id_severidad_sod","catalogo","severidad_sod","id_severidad_sod"
"cumplimiento","regla_sod","id_empresa","FK_cumplimiento_regla_sod_organizacion_empresa_id_empresa","organizacion","empresa","id_empresa"
"cumplimiento","regla_sod","id_tenant","FK_cumplimiento_regla_sod_plataforma_tenant_id_tenant","plataforma","tenant","id_tenant"
"cumplimiento","regla_sod","codigo_entidad","FK_cumplimiento_regla_sod_seguridad_entidad_alcance_dato_codigo_entidad","seguridad","entidad_alcance_dato","codigo_entidad"
"cumplimiento","regla_sod","id_permiso_a","FK_cumplimiento_regla_sod_seguridad_permiso_id_permiso_a","seguridad","permiso","id_permiso"
"cumplimiento","regla_sod","id_permiso_b","FK_cumplimiento_regla_sod_seguridad_permiso_id_permiso_b","seguridad","permiso","id_permiso"
"logistica","contenedor","id_tenant","FK_logistica_contenedor_tenant","plataforma","tenant","id_tenant"
"logistica","contenedor","id_tipo_contenedor","FK_logistica_contenedor_tipo","logistica","tipo_contenedor","id_tipo_contenedor"
"logistica","contrato_tarifario","id_empresa","FK_logistica_contrato_empresa","organizacion","empresa","id_empresa"
"logistica","contrato_tarifario","id_tenant","FK_logistica_contrato_empresa","organizacion","empresa","id_tenant"
"logistica","contrato_tarifario","id_instancia_aprobacion","FK_logistica_contrato_instancia_aprobacion","cumplimiento","instancia_aprobacion","id_instancia_aprobacion"
"logistica","contrato_tarifario","id_tenant","FK_logistica_contrato_tenant","plataforma","tenant","id_tenant"
"logistica","contrato_tarifario","id_tercero","FK_logistica_contrato_tercero","tercero","tercero","id_tercero"
"logistica","contrato_tarifario_producto","id_contrato_tarifario","FK_logistica_contrato_prod_contrato","logistica","contrato_tarifario","id_contrato_tarifario"
"logistica","contrato_tarifario_producto","id_producto_logistico","FK_logistica_contrato_prod_producto","logistica","producto_logistico","id_producto_logistico"
"logistica","contrato_tarifario_recargo","id_contrato_tarifario","FK_logistica_contrato_recargo_contrato","logistica","contrato_tarifario","id_contrato_tarifario"
