"schema","table","columns"
"cumplimiento","accion_instancia_aprobacion","id_accion_instancia_aprobacion,id_instancia_aprobacion,id_paso_instancia_aprobacion,id_usuario,id_empresa,id_unidad_organizativa,id_accion_aprobacion,comentario,mfa_validado,ip_origen,agente_usuario,fecha_utc"
"cumplimiento","auditoria_operacion","id_auditoria,tabla,operacion,id_registro,valores_anteriores,valores_nuevos,usuario,correlation_id,fecha"
"cumplimiento","excepcion_sod","id_excepcion_sod,id_regla_sod,id_usuario,id_empresa,fecha_inicio_utc,fecha_fin_utc,motivo,aprobado_por,activo,creado_utc"
"cumplimiento","instancia_aprobacion","id_instancia_aprobacion,id_tenant,id_empresa,id_unidad_organizativa,id_perfil_aprobacion,codigo_entidad,id_objeto,nivel_actual,id_estado_aprobacion,solicitado_por,solicitado_utc,expira_utc,motivo,hash_payload,activo"
"cumplimiento","paso_instancia_aprobacion","id_paso_instancia_aprobacion,id_instancia_aprobacion,nivel_orden,id_estado_aprobacion,iniciado_utc,resuelto_utc"
"cumplimiento","paso_perfil_aprobacion","id_paso_perfil_aprobacion,id_perfil_aprobacion,nivel_orden,id_rol_requerido,id_privilegio_requerido,id_alcance_asignacion_requerido,aprobadores_minimos,todos_deben_aprobar,monto_minimo,monto_maximo,activo"
"cumplimiento","perfil_aprobacion","id_perfil_aprobacion,id_tenant,id_empresa,codigo,codigo_entidad,tipo_proceso,requiere_mfa,impide_autoaprobacion,impide_misma_unidad,activo,creado_utc,actualizado_utc,version_fila"
"cumplimiento","regla_sod","id_regla_sod,id_tenant,id_empresa,id_permiso_a,id_permiso_b,codigo_entidad,prohibe_mismo_usuario,prohibe_misma_unidad,prohibe_misma_sesion,prohibe_mismo_dia,id_severidad_sod,activo,creado_utc,actualizado_utc"
"logistica","contenedor","id_contenedor,id_tenant,id_tipo_contenedor,numero_contenedor,numero_sello,tara_kg,capacidad_kg,activo,creado_utc,actualizado_utc,version_fila"
"logistica","contrato_tarifario","id_contrato_tarifario,id_tenant,id_empresa,id_tercero,codigo,nombre,fecha_inicio,fecha_fin,requiere_aprobacion,id_instancia_aprobacion,activo,creado_utc,actualizado_utc,version_fila"
"logistica","contrato_tarifario_producto","id_contrato_tarifario_producto,id_contrato_tarifario,id_producto_logistico,valor_base_pactado,aplica_sobre_valor_pactado,porcentaje_negociado,monto_fijo_negociado,cantidad_minima,cantidad_maxima,activo,creado_utc"
"logistica","contrato_tarifario_recargo","id_contrato_tarifario_recargo,id_contrato_tarifario,id_recargo_regla,activo,creado_utc"
"logistica","contrato_tarifario_tarifa","id_contrato_tarifario_tarifa,id_contrato_tarifario,id_tarifa,prioridad,permite_override,activo,creado_utc"
"logistica","cotizacion","id_cotizacion,id_tenant,id_empresa,id_cliente,origen,destino,id_modo_transporte,id_tipo_carga,peso_total,volumen_total,valor_factura,fecha_creacion,activo,version_fila,id_estado_cotizacion,id_tipo_servicio,id_termino_comercial,id_zona_origen,id_zona_destino,id_direccion_origen,id_direccion_destino,observaciones"
"logistica","cotizacion_bulto","id_cotizacion_bulto,id_cotizacion,id_tipo_bulto,descripcion,cantidad_bultos,largo_cm,ancho_cm,alto_cm,peso_kg,volumen_m3,creado_utc"
"logistica","cotizacion_item","id_cotizacion_item,id_cotizacion,id_producto_logistico,cantidad,peso,volumen,valor_unitario,valor_total,creado_utc"
"logistica","cotizacion_precio","id_cotizacion_precio,id_cotizacion,precio_total,moneda,detalle_calculo,vigente_hasta_utc,fecha_calculo"
"logistica","cotizacion_recargo","id_cotizacion_recargo,id_cotizacion_precio,id_recargo,monto,base_calculo,detalle"
"logistica","cotizacion_tercero","id_cotizacion_tercero,id_cotizacion,id_tercero,id_rol_tercero,principal,id_direccion_tercero,creado_utc"
"logistica","envio","id_envio,id_tenant,id_empresa,id_cliente,origen,destino,peso_total,volumen_total,valor_factura,fecha_creacion,activo,version_fila,id_modo_transporte,id_tipo_carga,peso_volumetrico,peso_facturable,id_estado_envio,id_tipo_servicio,id_termino_comercial,id_zona_origen,id_zona_destino,id_direccion_origen,id_direccion_destino,numero_guia,observaciones"
"logistica","envio_bulto","id_envio_bulto,id_envio,id_tipo_bulto,descripcion,cantidad_bultos,largo_cm,ancho_cm,alto_cm,peso_kg,volumen_m3,creado_utc"
"logistica","envio_contenedor","id_envio_contenedor,id_envio,id_contenedor,orden_carga,observaciones,creado_utc"
"logistica","envio_item","id_envio_item,id_envio,id_producto_logistico,descripcion,cantidad,peso,volumen,valor_unitario,valor_total,creado_utc"
"logistica","envio_precio","id_envio_precio,id_envio,precio_total,detalle_calculo,fecha_calculo"
"logistica","envio_recargo","id_envio_recargo,id_envio_precio,id_recargo,monto,base_calculo,detalle"
"logistica","envio_tercero","id_envio_tercero,id_envio,id_tercero,id_rol_tercero,principal,id_direccion_tercero,creado_utc"
"logistica","estado_cotizacion","id_estado_cotizacion,codigo,nombre,orden_visual,activo"
"logistica","estado_envio","id_estado_envio,codigo,nombre,orden_visual,activo"
"logistica","evento_envio","id_evento_envio,id_envio,id_tipo_evento_envio,fecha_evento_utc,ubicacion,detalle,id_usuario,id_sesion_usuario,creado_utc"
"logistica","factor_volumetrico","id_factor_volumetrico,id_tenant,id_empresa,id_modo_transporte,id_tipo_servicio,divisor_volumetrico,fecha_inicio,fecha_fin,activo,creado_utc"
"logistica","grupo_producto_logistico","id_grupo_producto_logistico,id_tenant,codigo,nombre,descripcion,activo,creado_utc,actualizado_utc,version_fila"
"logistica","modo_transporte","id_modo_transporte,id_tenant,codigo,nombre,activo,creado_utc,actualizado_utc,version_fila"
"logistica","producto_logistico","id_producto_logistico,id_tenant,codigo,nombre,descripcion,requiere_factura,activo,creado_utc,actualizado_utc,version_fila,id_grupo_producto_logistico,id_unidad_medida,requiere_inspeccion,es_mercancia_restringida"
"logistica","recargo","id_recargo,id_tenant,codigo,nombre,tipo_calculo,valor,activo,creado_utc"
"logistica","recargo_regla","id_recargo_regla,id_recargo,id_empresa,id_modo_transporte,id_tipo_servicio,id_tipo_carga,id_zona_origen,id_zona_destino,peso_min,peso_max,valor_factura_min,valor_factura_max,fecha_inicio,fecha_fin,activo,creado_utc"
"logistica","regla_control_carga","id_regla_control_carga,id_tenant,id_empresa,id_producto_logistico,id_tipo_carga,peso_min,peso_max,accion,id_recargo,requiere_inspeccion,activo,creado_utc"
