"schema","table","has_id_tenant","has_id_empresa","has_any_tenant_col","has_any_empresa_col","fk_to_tenant_table","fk_to_empresa_table","tenant_cols","empresa_cols","fk_refs"
"actividad","comentario","False","False","False","False","False","False","","","comun.entidad_sistema"
"actividad","comentario_archivo","False","False","False","False","False","False","","","actividad.comentario,documento.documento"
"actividad","comentario_mencion","False","False","False","False","False","False","","",""
"actividad","tipo_comentario","False","False","False","False","False","False","","",""
"catalogo","accion_aprobacion","False","False","False","False","False","False","","",""
"catalogo","alcance_asignacion","False","False","False","False","False","False","","",""
"catalogo","canal_notificacion","False","False","False","False","False","False","","",""
"catalogo","efecto_permiso","False","False","False","False","False","False","","",""
"catalogo","estado_aprobacion","False","False","False","False","False","False","","",""
"catalogo","estado_empresa","False","False","False","True","False","False","","id_estado_empresa",""
"catalogo","estado_registro","False","False","False","False","False","False","","",""
"catalogo","estado_usuario","False","False","False","False","False","False","","",""
"catalogo","modo_filtro_dato","False","False","False","False","False","False","","",""
"catalogo","proposito_desafio_mfa","False","False","False","False","False","False","","",""
"catalogo","severidad_sod","False","False","False","False","False","False","","",""
"catalogo","tipo_empresa","False","False","False","True","False","False","","id_tipo_empresa",""
"catalogo","tipo_evento_seguridad","False","False","False","False","False","False","","",""
"catalogo","tipo_factor_mfa","False","False","False","False","False","False","","",""
"catalogo","tipo_identificador_usuario","False","False","False","False","False","False","","",""
"catalogo","tipo_origen_autenticacion","False","False","False","False","False","False","","",""
"catalogo","tipo_recurso_ui","False","False","False","False","False","False","","",""
"catalogo","tipo_relacion_empresa","False","False","False","True","False","False","","id_tipo_relacion_empresa",""
"catalogo","tipo_unidad_organizativa","False","False","False","False","False","False","","",""
"catalogo","tipo_verificacion_restablecimiento","False","False","False","False","False","False","","",""
"comun","entidad_sistema","False","False","False","False","False","False","","",""
"comun","tipo_documento","False","False","False","False","False","False","","",""
"cumplimiento","accion_instancia_aprobacion","False","True","False","True","True","True","","id_empresa","catalogo.accion_aprobacion,cumplimiento.instancia_aprobacion,cumplimiento.paso_instancia_aprobacion,organizacion.empresa,organizacion.unidad_organizativa,seguridad.usuario"
"cumplimiento","auditoria_operacion","False","False","False","False","False","False","","",""
"cumplimiento","excepcion_sod","False","True","False","True","True","True","","id_empresa","cumplimiento.regla_sod,organizacion.empresa,seguridad.usuario"
"cumplimiento","instancia_aprobacion","True","True","True","True","True","True","id_tenant","id_empresa","catalogo.estado_aprobacion,cumplimiento.perfil_aprobacion,organizacion.empresa,organizacion.unidad_organizativa,seguridad.entidad_alcance_dato,seguridad.usuario"
"cumplimiento","paso_instancia_aprobacion","False","False","False","False","True","True","","","catalogo.estado_aprobacion,cumplimiento.instancia_aprobacion"
"cumplimiento","paso_perfil_aprobacion","False","False","False","False","True","True","","","catalogo.alcance_asignacion,cumplimiento.perfil_aprobacion,seguridad.privilegio,seguridad.rol"
"cumplimiento","perfil_aprobacion","True","True","True","True","True","True","id_tenant","id_empresa","organizacion.empresa,plataforma.tenant,seguridad.entidad_alcance_dato"
"cumplimiento","regla_sod","True","True","True","True","True","True","id_tenant","id_empresa","catalogo.severidad_sod,organizacion.empresa,plataforma.tenant,seguridad.entidad_alcance_dato,seguridad.permiso"
"dbo","sysdiagrams","False","False","False","False","False","False","","",""
"documento","documento","False","False","False","False","False","False","","","comun.tipo_documento"
"documento","documento_entidad","False","False","False","False","False","False","","","comun.entidad_sistema,documento.documento"
"documento","documento_etiqueta","False","False","False","False","False","False","","","documento.documento"
"documento","documento_firma","False","False","False","False","False","False","","","documento.documento"
"documento","documento_ocr","False","False","False","False","False","False","","","documento.documento"
"documento","documento_version","False","False","False","False","False","False","","","documento.documento"
"documento","documento_workflow","False","False","False","False","False","False","","",""
"documento","documento_workflow_paso","False","False","False","False","False","False","","","documento.documento_workflow"
"etiqueta","etiqueta","False","False","False","False","False","False","","",""
"etiqueta","etiqueta_entidad","False","False","False","False","False","False","","","comun.entidad_sistema,etiqueta.etiqueta"
"logistica","contenedor","True","False","True","False","True","False","id_tenant","","logistica.tipo_contenedor,plataforma.tenant"
"logistica","contrato_tarifario","True","True","True","True","True","True","id_tenant","id_empresa","cumplimiento.instancia_aprobacion,organizacion.empresa,plataforma.tenant,tercero.tercero"
"logistica","contrato_tarifario_producto","False","False","False","False","True","True","","","logistica.contrato_tarifario,logistica.producto_logistico"
"logistica","contrato_tarifario_recargo","False","False","False","False","True","True","","","logistica.contrato_tarifario,logistica.recargo_regla"
"logistica","contrato_tarifario_tarifa","False","False","False","False","True","True","","","logistica.contrato_tarifario,logistica.tarifa"
"logistica","cotizacion","True","True","True","True","True","False","id_tenant","id_empresa","logistica.estado_cotizacion,logistica.modo_transporte,logistica.termino_comercial,logistica.tipo_carga,logistica.tipo_servicio,logistica.zona,tercero.tercero"
"logistica","cotizacion_bulto","False","False","False","False","True","True","","","logistica.cotizacion,logistica.tipo_bulto"
"logistica","cotizacion_item","False","False","False","False","True","True","","","logistica.cotizacion,logistica.producto_logistico"
"logistica","cotizacion_precio","False","False","False","False","True","True","","","logistica.cotizacion"
"logistica","cotizacion_recargo","False","False","False","False","True","False","","","logistica.cotizacion_precio,logistica.recargo"
"logistica","cotizacion_tercero","False","False","False","False","True","True","","","logistica.cotizacion,tercero.rol_tercero,tercero.tercero"
"logistica","envio","True","True","True","True","True","True","id_tenant","id_empresa","logistica.estado_envio,logistica.modo_transporte,logistica.termino_comercial,logistica.tipo_carga,logistica.tipo_servicio,logistica.zona,organizacion.empresa,tercero.tercero"
"logistica","envio_bulto","False","False","False","False","True","True","","","logistica.envio,logistica.tipo_bulto"
"logistica","envio_contenedor","False","False","False","False","True","True","","","logistica.contenedor,logistica.envio"
"logistica","envio_item","False","False","False","False","True","True","","","logistica.envio,logistica.producto_logistico"
"logistica","envio_precio","False","False","False","False","True","True","","","logistica.envio"
"logistica","envio_recargo","False","False","False","False","True","False","","","logistica.envio_precio,logistica.recargo"
"logistica","envio_tercero","False","False","False","False","True","True","","","logistica.envio,tercero.rol_tercero,tercero.tercero"
"logistica","estado_cotizacion","False","False","False","False","False","False","","",""
"logistica","estado_envio","False","False","False","False","False","False","","",""
"logistica","evento_envio","False","False","False","False","True","True","","","logistica.envio,logistica.tipo_evento_envio,seguridad.sesion_usuario,seguridad.usuario"
"logistica","factor_volumetrico","True","True","True","True","True","True","id_tenant","id_empresa","logistica.modo_transporte,logistica.tipo_servicio,organizacion.empresa,plataforma.tenant"
"logistica","grupo_producto_logistico","True","False","True","False","True","False","id_tenant","","plataforma.tenant"
"logistica","modo_transporte","True","False","True","False","True","False","id_tenant","","plataforma.tenant"
"logistica","producto_logistico","True","False","True","False","True","False","id_tenant","","logistica.grupo_producto_logistico,logistica.unidad_medida,plataforma.tenant"
"logistica","recargo","True","False","True","False","False","False","id_tenant","",""
"logistica","recargo_regla","False","True","False","True","True","True","","id_empresa","logistica.modo_transporte,logistica.recargo,logistica.tipo_carga,logistica.tipo_servicio,logistica.zona,organizacion.empresa"
"logistica","regla_control_carga","True","True","True","True","True","True","id_tenant","id_empresa","logistica.producto_logistico,logistica.recargo,logistica.tipo_carga,organizacion.empresa,plataforma.tenant"
"logistica","ruta_logistica","True","True","True","True","True","True","id_tenant","id_empresa","logistica.modo_transporte,logistica.zona,organizacion.empresa,plataforma.tenant"
"logistica","ruta_logistica_tramo","False","False","False","False","True","True","","","logistica.modo_transporte,logistica.ruta_logistica,logistica.zona"
"logistica","tarifa","True","True","True","True","True","True","id_tenant","id_empresa","organizacion.empresa,plataforma.tenant"
