"TABLE_SCHEMA","TABLE_NAME","has_id_tenant","has_id_empresa","reaches_tenant_fk","reaches_empresa_fk","tenant_anchored","empresa_anchored"
"actividad","comentario","0","0","0","0","False","False"
"actividad","comentario_archivo","0","0","0","0","False","False"
"actividad","comentario_mencion","0","0","0","0","False","False"
"actividad","tipo_comentario","0","0","0","0","False","False"
"catalogo","accion_aprobacion","0","0","0","0","False","False"
"catalogo","alcance_asignacion","0","0","0","0","False","False"
"catalogo","canal_notificacion","0","0","0","0","False","False"
"catalogo","efecto_permiso","0","0","0","0","False","False"
"catalogo","estado_aprobacion","0","0","0","0","False","False"
"catalogo","estado_empresa","0","0","0","0","False","False"
"catalogo","estado_registro","0","0","0","0","False","False"
"catalogo","estado_usuario","0","0","0","0","False","False"
"catalogo","modo_filtro_dato","0","0","0","0","False","False"
"catalogo","proposito_desafio_mfa","0","0","0","0","False","False"
"catalogo","severidad_sod","0","0","0","0","False","False"
"catalogo","tipo_empresa","0","0","0","0","False","False"
"catalogo","tipo_evento_seguridad","0","0","0","0","False","False"
"catalogo","tipo_factor_mfa","0","0","0","0","False","False"
"catalogo","tipo_identificador_usuario","0","0","0","0","False","False"
"catalogo","tipo_origen_autenticacion","0","0","0","0","False","False"
"catalogo","tipo_recurso_ui","0","0","0","0","False","False"
"catalogo","tipo_relacion_empresa","0","0","0","0","False","False"
"catalogo","tipo_unidad_organizativa","0","0","0","0","False","False"
"catalogo","tipo_verificacion_restablecimiento","0","0","0","0","False","False"
"comun","entidad_sistema","0","0","0","0","False","False"
"comun","tipo_documento","0","0","0","0","False","False"
"cumplimiento","accion_instancia_aprobacion","0","1","1","1","True","True"
"cumplimiento","auditoria_operacion","0","0","0","0","False","False"
"cumplimiento","excepcion_sod","0","1","1","1","True","True"
"cumplimiento","instancia_aprobacion","1","1","1","1","True","True"
"cumplimiento","paso_instancia_aprobacion","0","0","1","1","True","True"
"cumplimiento","paso_perfil_aprobacion","0","0","1","1","True","True"
"cumplimiento","perfil_aprobacion","1","1","1","1","True","True"
"cumplimiento","regla_sod","1","1","1","1","True","True"
"dbo","sysdiagrams","0","0","0","0","False","False"
"documento","documento","0","0","0","0","False","False"
"documento","documento_entidad","0","0","0","0","False","False"
"documento","documento_etiqueta","0","0","0","0","False","False"
"documento","documento_firma","0","0","0","0","False","False"
"documento","documento_ocr","0","0","0","0","False","False"
"documento","documento_version","0","0","0","0","False","False"
"documento","documento_workflow","0","0","0","0","False","False"
"documento","documento_workflow_paso","0","0","0","0","False","False"
"etiqueta","etiqueta","0","0","0","0","False","False"
"etiqueta","etiqueta_entidad","0","0","0","0","False","False"
"logistica","contenedor","1","0","1","0","True","False"
"logistica","contrato_tarifario","1","1","1","1","True","True"
"logistica","contrato_tarifario_producto","0","0","1","1","True","True"
"logistica","contrato_tarifario_recargo","0","0","1","1","True","True"
"logistica","contrato_tarifario_tarifa","0","0","1","1","True","True"
"logistica","cotizacion","1","1","1","0","True","True"
"logistica","cotizacion_bulto","0","0","1","1","True","True"
"logistica","cotizacion_item","0","0","1","1","True","True"
"logistica","cotizacion_precio","0","0","1","1","True","True"
"logistica","cotizacion_recargo","0","0","1","0","True","False"
"logistica","cotizacion_tercero","0","0","1","1","True","True"
"logistica","envio","1","1","1","1","True","True"
"logistica","envio_bulto","0","0","1","1","True","True"
"logistica","envio_contenedor","0","0","1","1","True","True"
"logistica","envio_item","0","0","1","1","True","True"
"logistica","envio_precio","0","0","1","1","True","True"
"logistica","envio_recargo","0","0","1","0","True","False"
"logistica","envio_tercero","0","0","1","1","True","True"
"logistica","estado_cotizacion","0","0","0","0","False","False"
"logistica","estado_envio","0","0","0","0","False","False"
"logistica","evento_envio","0","0","1","1","True","True"
"logistica","factor_volumetrico","1","1","1","1","True","True"
"logistica","grupo_producto_logistico","1","0","1","0","True","False"
"logistica","modo_transporte","1","0","1","0","True","False"
"logistica","producto_logistico","1","0","1","0","True","False"
"logistica","recargo","1","0","0","0","True","False"
"logistica","recargo_regla","0","1","1","1","True","True"
"logistica","regla_control_carga","1","1","1","1","True","True"
"logistica","ruta_logistica","1","1","1","1","True","True"
"logistica","ruta_logistica_tramo","0","0","1","1","True","True"
"logistica","tarifa","1","1","1","1","True","True"
"logistica","tarifa_condicion","0","0","1","1","True","True"
"logistica","tarifa_formula","0","0","1","1","True","True"
"logistica","tarifa_rango","0","0","0","0","False","False"
"logistica","tarifa_temporada","0","0","1","1","True","True"
"logistica","temporada_tarifaria","1","1","1","1","True","True"
"logistica","termino_comercial","0","0","0","0","False","False"
"logistica","tipo_bulto","1","0","1","0","True","False"
"logistica","tipo_carga","1","0","1","0","True","False"
"logistica","tipo_contenedor","1","0","1","0","True","False"
"logistica","tipo_evento_envio","0","0","0","0","False","False"
"logistica","tipo_servicio","1","0","1","0","True","False"
"logistica","unidad_medida","1","0","1","0","True","False"
"logistica","zona","1","0","1","0","True","False"
"logistica","zona_localidad","0","0","1","0","True","False"
"observabilidad","auditoria_autorizacion","1","1","1","1","True","True"
"observabilidad","auditoria_evento_seguridad","1","1","1","1","True","True"
"observabilidad","auditoria_reinicio_mesa_ayuda","1","1","1","1","True","True"
"observabilidad","error_aplicacion","1","1","1","1","True","True"
"observabilidad","error_log","0","0","0","0","False","False"
"observabilidad","evento_sistema","0","0","0","0","False","False"
"observabilidad","operacion_api_log","1","0","0","0","True","False"
"organizacion","empresa","1","1","1","0","True","True"
"organizacion","grupo_empresarial","1","0","1","0","True","False"
"organizacion","grupo_empresarial_empresa","0","1","1","1","True","True"
"organizacion","relacion_empresa","1","0","1","1","True","True"
"organizacion","unidad_organizativa","1","1","1","1","True","True"
"plataforma","bitacora_instalacion","0","0","0","0","False","False"
"plataforma","categoria_configuracion","0","0","0","0","False","False"
"plataforma","configuracion_empresa","0","1","0","0","False","True"
"plataforma","db_migration_history","0","0","0","0","False","False"
"plataforma","feature_flag","0","0","0","0","False","False"
"plataforma","integracion_externa","0","0","0","0","False","False"
"plataforma","job_sistema","0","0","0","0","False","False"
"plataforma","job_sistema_ejecucion","0","0","0","0","False","False"
"plataforma","modulo","0","0","0","0","False","False"
"plataforma","notificacion","0","0","0","0","False","False"
"plataforma","parametro_configuracion","0","0","0","0","False","False"
"plataforma","tenant","1","0","0","0","True","False"
"plataforma","tenant_feature","1","0","0","0","True","False"
"plataforma","version_esquema","0","0","0","0","False","False"
"plataforma","version_sistema","0","0","0","0","False","False"
"seguridad","asignacion_rol_usuario","1","1","1","1","True","True"
"seguridad","configuracion_canal_notificacion","1","1","1","1","True","True"
"seguridad","contador_rate_limit","1","1","1","1","True","True"
"seguridad","control_intentos_login","0","0","0","0","False","False"
"seguridad","credencial_local_usuario","0","0","0","0","False","False"
"seguridad","deber","1","0","1","0","True","False"
"seguridad","deber_privilegio","0","0","1","0","True","False"
"seguridad","desafio_mfa","1","1","1","1","True","True"
"seguridad","dispositivo_usuario","0","0","0","0","False","False"
"seguridad","entidad_alcance_dato","0","0","0","0","False","False"
"seguridad","excepcion_permiso_usuario","1","1","1","1","True","True"
"seguridad","factor_mfa_usuario","0","0","0","0","False","False"
"seguridad","filtro_dato_usuario","1","1","1","1","True","True"
"seguridad","flujo_autenticacion","1","0","1","0","True","False"
"seguridad","flujo_restablecimiento_clave","0","0","0","0","False","False"
"seguridad","historial_clave_usuario","0","0","0","0","False","False"
"seguridad","ip_bloqueada","0","0","0","0","False","False"
"seguridad","modulo_permiso","0","0","0","0","False","False"
"seguridad","operacion_api","0","0","0","0","False","False"
"seguridad","permiso","0","0","0","0","False","False"
"seguridad","politica_empresa_override","0","1","1","1","True","True"
"seguridad","politica_ip","1","1","1","1","True","True"
"seguridad","politica_operacion_api","0","0","0","0","False","False"
"seguridad","politica_tenant","1","0","1","0","True","False"
"seguridad","privilegio","1","0","1","0","True","False"
"seguridad","privilegio_permiso","0","0","1","0","True","False"
"seguridad","recurso_ui","0","0","0","0","False","False"
"seguridad","recurso_ui_permiso","0","0","0","0","False","False"
"seguridad","rol","1","0","1","0","True","False"
"seguridad","rol_deber","0","0","1","0","True","False"
"seguridad","sesion_usuario","1","1","1","1","True","True"
"seguridad","sesion_usuario_historial","0","0","0","0","False","False"
"seguridad","token_restablecimiento_clave","0","0","0","0","False","False"
"seguridad","usuario","0","0","0","0","False","False"
"seguridad","usuario_empresa","1","1","1","1","True","True"
"seguridad","usuario_identificador","0","0","0","0","False","False"
"seguridad","usuario_scope_empresa","0","1","0","0","False","True"
"seguridad","usuario_scope_unidad","0","0","0","0","False","False"
"seguridad","usuario_tenant","1","0","1","0","True","False"
"seguridad","usuario_unidad_organizativa","0","1","1","1","True","True"
"tercero","coincidencia_tercero","0","0","0","0","False","False"
"tercero","contacto_tercero","0","0","0","0","False","False"
"tercero","cuenta_bancaria_tercero","0","0","0","0","False","False"
"tercero","direccion_tercero","0","0","0","0","False","False"
"tercero","identificacion_tercero","0","0","0","0","False","False"
"tercero","indice_busqueda_tercero","0","0","0","0","False","False"
"tercero","merge_tercero","0","0","0","0","False","False"
"tercero","nivel_coincidencia","0","0","0","0","False","False"
"tercero","relacion_tercero","0","0","0","0","False","False"
"tercero","rol_tercero","0","0","0","0","False","False"
"tercero","tercero","0","0","0","0","False","False"
"tercero","tercero_empresa","0","1","0","0","False","True"
"tercero","tercero_rol","0","1","0","0","False","True"
"tercero","tipo_persona","0","0","0","0","False","False"
